i,LSOA11CD_props,area_props,area_total,LSOA11CD_majority
0,['E01019077'],[1.0],5965.0,E01019077
1,['E01019077'],[1.0],57446.9,E01019077
327,['E01019077'],[1.0],722.8,E01019077
328,['E01019077'],[1.0],22858.0,E01019077
329,['E01019077'],[1.0],233834.3,E01019077
331,['E01019077'],[1.0],16435.7,E01019077
332,['E01019077'],[1.0],49888.2,E01019077
655,['E01019077'],[1.0],120209.8,E01019077
656,['E01019077'],[1.0],994511.3,E01019077
658,['E01019077'],[1.0],381958.0,E01019077
659,['E01019077'],[1.0],1121502.3,E01019077
660,['E01019077'],[1.0],725036.5,E01019077
982,['E01019077'],[1.0],52.8,E01019077
983,['E01019077'],[1.0],370354.9,E01019077
984,['E01019077'],[1.0],669991.3,E01019077
985,['E01019077'],[1.0],62237.2,E01019077
986,['E01019077'],[1.0],2102682.7,E01019077
987,['E01019077'],[1.0],652163.7,E01019077
988,['E01019077'],[1.0],39829.6,E01019077
1310,['E01019077'],[1.0],96012.7,E01019077
1311,['E01019077'],[1.0],2997321.8,E01019077
1312,['E01019077'],[1.0],2182608.7,E01019077
1313,['E01019077'],[1.0],8788.2,E01019077
1314,['E01019077'],[1.0],1231534.5,E01019077
1315,['E01019077'],[1.0],64008.6,E01019077
1638,['E01019077'],[1.0],413045.1,E01019077
1639,['E01019077'],[1.0],212461.3,E01019077
1640,['E01019077'],[1.0],564712.0,E01019077
1641,['E01019077'],[1.0],839520.3,E01019077
1967,['E01019077'],[1.0],149762.5,E01019077
8185,['E01019005'],[1.0],456159.6,E01019005
8186,['E01019005'],[1.0],2385.4,E01019005
8188,['E01018992'],[1.0],15552.1,E01018992
8510,['E01019005'],[1.0],3940.5,E01019005
8511,['E01019005'],[1.0],1246322.9,E01019005
8512,['E01019005'],[1.0],3686881.3,E01019005
8513,"['E01019005', 'E01018992']","[0.962, 0.038]",2467561.0,E01019005
8514,['E01018992'],[1.0],1561247.3,E01018992
8515,"['E01018992', 'E01018993']","[0.932, 0.068]",2634991.5,E01018992
8516,"['E01018992', 'E01018993']","[0.955, 0.045]",2295237.5,E01018992
8517,['E01018992'],[1.0],380582.3,E01018992
8837,['E01019005'],[1.0],27193.7,E01019005
8838,['E01019005'],[1.0],3653792.6,E01019005
8839,['E01019005'],[1.0],4000000.0,E01019005
8840,"['E01019005', 'E01018992']","[0.885, 0.115]",4000000.0,E01019005
8841,"['E01018992', 'E01019005']","[0.988, 0.012]",4000000.0,E01018992
8842,"['E01018992', 'E01018993']","[0.932, 0.068]",4633593.9,E01018992
8843,"['E01018992', 'E01018991', 'E01018993']","[0.762, 0.22, 0.018]",4153552.9,E01018992
8844,"['E01018991', 'E01018992']","[0.722, 0.278]",3499108.9,E01018991
8845,['E01018991'],[1.0],376578.6,E01018991
9165,['E01019005'],[1.0],2416422.0,E01019005
9166,['E01019005'],[1.0],4000000.0,E01019005
9167,['E01019005'],[1.0],4000000.0,E01019005
9168,"['E01019005', 'E01018992', 'E01019006']","[0.448, 0.278, 0.274]",4000000.0,E01019005
9169,"['E01018992', 'E01019006']","[0.68, 0.32]",4000000.0,E01018992
9170,"['E01019006', 'E01018992', 'E01018991', 'E01018989']","[0.581, 0.3, 0.092, 0.027]",4000000.0,E01019006
9171,"['E01018991', 'E01018989']","[0.963, 0.037]",4000000.0,E01018991
9172,['E01018991'],[1.0],1048805.0,E01018991
9492,"['E01019006', 'E01019005']","[0.871, 0.129]",1254126.9,E01019006
9493,"['E01019006', 'E01019005']","[0.727, 0.273]",4000000.0,E01019006
9494,"['E01019005', 'E01019006']","[0.772, 0.228]",4000000.0,E01019005
