Scenario,process_time_call_ambulance,process_time_ambulance_response,process_ambulance_on_scene_duration,process_msu_dispatch,process_msu_thrombolysis,process_msu_on_scene_post_thrombolysis,process_time_arrival_to_needle,transfer_time_delay,process_time_arrival_to_puncture,process_time_transfer_arrival_to_puncture,process_time_msu_arrival_to_puncture
0,0,15,20,0,15,15,30,30,30,30,30
1,0,15,20,0,15,15,30,30,30,30,45
2,0,15,20,0,15,15,30,30,30,30,60
3,0,15,20,0,15,15,30,30,30,45,30
4,0,15,20,0,15,15,30,30,30,45,45
5,0,15,20,0,15,15,30,30,30,45,60
6,0,15,20,0,15,15,30,30,30,60,30
7,0,15,20,0,15,15,30,30,30,60,45
8,0,15,20,0,15,15,30,30,30,60,60
9,0,15,20,0,15,15,30,30,45,30,30
10,0,15,20,0,15,15,30,30,45,30,45
11,0,15,20,0,15,15,30,30,45,30,60
12,0,15,20,0,15,15,30,30,45,45,30
13,0,15,20,0,15,15,30,30,45,45,45
14,0,15,20,0,15,15,30,30,45,45,60
15,0,15,20,0,15,15,30,30,45,60,30
16,0,15,20,0,15,15,30,30,45,60,45
17,0,15,20,0,15,15,30,30,45,60,60
18,0,15,20,0,15,15,30,30,60,30,30
19,0,15,20,0,15,15,30,30,60,30,45
20,0,15,20,0,15,15,30,30,60,30,60
21,0,15,20,0,15,15,30,30,60,45,30
22,0,15,20,0,15,15,30,30,60,45,45
23,0,15,20,0,15,15,30,30,60,45,60
24,0,15,20,0,15,15,30,30,60,60,30
25,0,15,20,0,15,15,30,30,60,60,45
26,0,15,20,0,15,15,30,30,60,60,60
27,0,15,20,0,15,15,30,60,30,30,30
28,0,15,20,0,15,15,30,60,30,30,45
29,0,15,20,0,15,15,30,60,30,30,60
30,0,15,20,0,15,15,30,60,30,45,30
31,0,15,20,0,15,15,30,60,30,45,45
32,0,15,20,0,15,15,30,60,30,45,60
33,0,15,20,0,15,15,30,60,30,60,30
34,0,15,20,0,15,15,30,60,30,60,45
35,0,15,20,0,15,15,30,60,30,60,60
36,0,15,20,0,15,15,30,60,45,30,30
37,0,15,20,0,15,15,30,60,45,30,45
38,0,15,20,0,15,15,30,60,45,30,60
39,0,15,20,0,15,15,30,60,45,45,30
40,0,15,20,0,15,15,30,60,45,45,45
41,0,15,20,0,15,15,30,60,45,45,60
42,0,15,20,0,15,15,30,60,45,60,30
43,0,15,20,0,15,15,30,60,45,60,45
44,0,15,20,0,15,15,30,60,45,60,60
45,0,15,20,0,15,15,30,60,60,30,30
46,0,15,20,0,15,15,30,60,60,30,45
47,0,15,20,0,15,15,30,60,60,30,60
48,0,15,20,0,15,15,30,60,60,45,30
49,0,15,20,0,15,15,30,60,60,45,45
50,0,15,20,0,15,15,30,60,60,45,60
51,0,15,20,0,15,15,30,60,60,60,30
52,0,15,20,0,15,15,30,60,60,60,45
53,0,15,20,0,15,15,30,60,60,60,60
54,0,15,20,0,15,15,30,90,30,30,30
55,0,15,20,0,15,15,30,90,30,30,45
56,0,15,20,0,15,15,30,90,30,30,60
57,0,15,20,0,15,15,30,90,30,45,30
58,0,15,20,0,15,15,30,90,30,45,45
59,0,15,20,0,15,15,30,90,30,45,60
60,0,15,20,0,15,15,30,90,30,60,30
61,0,15,20,0,15,15,30,90,30,60,45
62,0,15,20,0,15,15,30,90,30,60,60
63,0,15,20,0,15,15,30,90,45,30,30
64,0,15,20,0,15,15,30,90,45,30,45
65,0,15,20,0,15,15,30,90,45,30,60
66,0,15,20,0,15,15,30,90,45,45,30
67,0,15,20,0,15,15,30,90,45,45,45
68,0,15,20,0,15,15,30,90,45,45,60
69,0,15,20,0,15,15,30,90,45,60,30
70,0,15,20,0,15,15,30,90,45,60,45
71,0,15,20,0,15,15,30,90,45,60,60
72,0,15,20,0,15,15,30,90,60,30,30
73,0,15,20,0,15,15,30,90,60,30,45
74,0,15,20,0,15,15,30,90,60,30,60
75,0,15,20,0,15,15,30,90,60,45,30
76,0,15,20,0,15,15,30,90,60,45,45
77,0,15,20,0,15,15,30,90,60,45,60
78,0,15,20,0,15,15,30,90,60,60,30
79,0,15,20,0,15,15,30,90,60,60,45
80,0,15,20,0,15,15,30,90,60,60,60
81,0,15,20,0,15,15,45,30,30,30,30
82,0,15,20,0,15,15,45,30,30,30,45
83,0,15,20,0,15,15,45,30,30,30,60
